name	component	tier	agent_liveness	purpose	evidence
KeeperSlateImpact	draft-research	diagnostic	diagnostic	Scores every strategy on the 2-keeper board, the 2-keeper board with real ranks, and the full 24-keeper board in one process, to see whether strategy ordering changes.	DRAFT-READY.md:226 ('KeeperSlateImpact scores both boards in one process'), MODEL.md:5255. No code callers.
KnLiveProbe	draft-research	archive	stray	Measures Kim-Nelson selection per pick along a realistic draft: rollouts spent, whether it proves a selection, whether it finishes inside the clock.	No reference in any root doc and no code callers (grep -w KnLiveProbe over RUNBOOK/README/MODEL/DIAGNOSTIC/DRAFT-READY/TRAPS/FAAB-PLAN/RESEARCH-PLAN/DRAFT-CARD and src/main/java returns nothing outside the class).
LandmineCheck	draft-research	archive	diagnostic	Regresses the Abusing Draft Rankings 'landmine score' on platform-rank minus consensus gaps already held, to test whether it carries new information.	MODEL.md:2161 ('LandmineCheck regresses the score on the gaps we already hold'). No code callers.
LateHalf	draft-research	archive	diagnostic	Compares what each strategy picks from round 8 on and what those picks delivered in weeks they genuinely started.	TRAPS.md:560 ('DetectionLag, LateHalf, and BoardValue reading them) still ranks ...'). No code callers.
LivePathStress	draft-research	seasonal	diagnostic	Replays a full sixteen-round draft calling the real LiveBoard.answer at every one of my seats; any throw or illegal final roster is a failure.	DIAGNOSTIC.md:308 ('LivePathStress says it does not across 42 priced picks'), DRAFT-READY.md:195 and TRAPS.md:207 (the warmSurvival wrong-configuration finding). Not a RUNBOOK command; code refs in LiveSetup.java/SeatPlan.java.
MarginalTrace	draft-research	archive	stray	Prints the sixteen-round objective's view of a roster at one pick (every slot, what fills it, each position's best-available marginal) to explain the pick-79 defence.	No reference in any root doc; no caller in src/main/java (grep -w MarginalTrace). Depends on RiskDiscountedValue/PositionPredictability but nothing depends on it.
MidDraftRank	draft-research	seasonal	diagnostic	Scores the survival rule's unconditional approximation vs the exact conditional P(gone by p | survived to k) vs the ADP cutoff, mid-draft, on simulated drafts.	DRAFT-READY.md:430 quotes its 21,840-cell result (cutoff 4.32 / shipped 0.85 / exact 0.86); DIAGNOSTIC.md:116 table row. LiveBoard.java:1088 and RealDraftSurvival mention it only in comments (no MidDraftRank. call).
MismatchArena	draft-research	archive	stray	Matrix of true opponent worlds x policies (fixed-model, Bayes/robust hedgers, lookahead, PaceVorp) scored MEAN and MIN to see where model-humble algorithms win.	No root doc names it; only caller is CommitteeRobustness.java, which is itself named in no doc. Archived output data/mismatch-arena-2026-08-27.txt.
ModelAAudit	draft-research	archive	diagnostic	Adversarial audit of Model A / the DraftNight path (setup, stateAfter alignment, boundary, committee, clock, keepers, off-turn) at both 16- and 9-round schedules.	TRAPS.md:114 '`ModelAAudit` is the tool'. LiveBoard.java:161 cites its clean-replay finding in a comment only; no ModelAAudit. call anywhere.
NewEngines	draft-research	archive	stray	Four experimental pick engines (depth-3, two-stage stochastic, regret-match, mean/p25 blend) scored on the PolicyTournament protocol.	No reference in any root doc and no caller in src/main/java.
ObjectiveAudit	draft-research	diagnostic	diagnostic	Runs RiskDiscountedValue against alternative trust coefficients, games-missed models and replacement ranks; reports whether the 16-round plan and the backtest move.	MODEL.md:4483-4489 run lines and discussion; build.gradle:229-232. Src callers PolicyBacktest and RiskDiscountedValue reference it (RiskDiscountedValue only in comments). Not in RUNBOOK.
ObservationCount	draft-research	archive	stray	Counts fitted observations (not seasons) behind Model A vs the 1-16 attempts to argue five seasons was never the constraint.	No reference in any root doc and no caller in src/main/java.
OddsConsistency	draft-research	archive	stray	Checks whether BoardValue's draw-implied same-position odds reproduce PairwiseOdds' fitted surface.	No reference in any root doc and no caller in src/main/java (it calls NflverseBoards, nothing calls it).
OddsFamilies	draft-research	diagnostic	diagnostic	Bake-off of four pre-registered model families (boosted strength, boosted surface, etc.) against PairwiseOdds' isotonic+log-smooth incumbent on held-out seasons.	RESEARCH-PLAN.md:472-475 quotes its results and run line. Only src caller is OddsSurfaces.
OddsSurfaces	draft-research	diagnostic	diagnostic	Eight further odds-surface families (BT-MLE, logit d, ...) refitted fold-by-fold on one protocol against the PairwiseOdds incumbent; javadoc: 'this file has no path into the draft tools'.	DRAFT-READY.md:565 run line and table. No src callers.
OpinionCount	draft-research	seasonal	diagnostic	At how many of the fourteen seats the board model's top-two verdict is separated (paired 2 s.e.) rather than a coin flip.	DRAFT-READY.md:530-531 quotes the -Pseeds=5 result; DIAGNOSTIC.md:236,298. No src callers.
PickDisplacement	draft-research	diagnostic	diagnostic	Empirical availability/residual distribution learned from this league's own drafts (per-position offset, per-depth bootstrap); challenger to the Gaussian, not shipped.	MODEL.md:4103 (opponents in PowerBacktest draft from a board perturbed by it). Javadoc 'STATUS: challenger, not shipped'. Callers: CensoredDisplacement, DraftBacktest, PowerBacktest - none live.
PlanBacktest	draft-research	diagnostic	live	Phase 4 backtest of fixed position sequences on real past ADP boards scored on real weekly outcomes; its Board (rankOf, tiersOf, indexRanks, holdKeepers) is the historical-board scaffold shared by the live objective.	WeeklyStarterValue.java:454,464 'expectedFromRank(PlanBacktest.Board board ...' / 'PlanBacktest.Board.indexRanks' - the weekly objective behind LeagueConsole/TuesdaySwap. TRAPS.md:532-616, build.gradle:135-235 properties. Its own main() is research.
PlanShowdown	draft-research	archive	stray	Prices the RB-heavy vs WR-heavy seven-round plans at high precision on paired seeds alongside the live engine.	No reference in any root doc and no caller in src/main/java. Archived output data/plan-showdown-2026-08-28.txt.
PolicyBacktest	draft-research	diagnostic	diagnostic	Fair Phase-4: the pick POLICY drafts each past season's own board with leave-one-out outcome pools, scored on real weekly results in the real ten-man lineup.	TRAPS.md:618; MODEL.md:4582 quotes its '[not legal] no DEF drafted' row. Callers ObjectiveAudit, PositionWeights, PowerBacktest - all research.
PositionCurve	draft-research	archive	stray	Prints mean best-available projection per position at each of my picks and the 2nd/3rd-best falloff, to answer why four RBs beat four WRs.	No reference in any root doc and no caller in src/main/java.
PositionTrust	draft-research	seasonal	diagnostic	Per-position regression of realised bucket spread on projected spread (trust in [0,1]) so no position gets a hand-written rule.	DIAGNOSTIC.md:34 table row quotes its defence result (slope 1.26 +- 0.53, spearman 0.22). No src callers.
PositionWeights	draft-research	diagnostic	diagnostic	Fits four per-position multipliers on the objective's marginal by coordinate ascent on 2021-2023, judged once on 2024-2025.	TRAPS.md:618 names it among the pool-drawing backtests. No src callers; it calls PolicyBacktest.
PowerBacktest	draft-research	diagnostic	diagnostic	The measuring instrument: how big a strategy gap must be to mean anything, over 12 slots x seasons x perturbed opponent worlds; GRADER follows the shipped grader.	MODEL.md:4093-4220 run line '-Pmain=PowerBacktest -Pkeepers=Tuten,Purdy', 4600,4755,4811,4847; TRAPS.md:618. Callers OddsSurfaces, ScorerHonestyAudit, InSeasonLearning, OddsFamilies, PairwiseOdds, ShapeSearch (PairwiseOdds borrows its grader/season list, so a slice of it runs on the live path).
PredictabilityProfile	draft-research	archive	stray	Per position and tier: bias, spread and skew of preseason ADP vs outcome over five seasons.	No reference in any root doc and no caller in src/main/java. Archived output data/predictability-profile-2026-08-29.txt.
QBMarket	draft-research	archive	diagnostic	Empirical QB market per season: who held a kept QB, when each manager took his first in-draft QB, raw QB-run co-occurrence.	MODEL.md:309 quotes its result ('Raw co-occurrence (QBMarket): QB repeats within 3 picks 27.5%'); no callers in src/main/java.
QbCountTest	draft-research	archive	stray	How many extra QBs a keeper-holding (Purdy) roster should draft; re-examines the round-3-QB finding with keepers modelled.	No reference in any root doc; no callers in src/main/java.
RankDraft	draft-research	diagnostic	diagnostic	A draft rule built solely from the pairwise preseason-rank outcome matrix (no intraseason modelling); scored in backtests.	TRAPS.md:17,86 quote its results ('cost RankDraft 68 points and over-bought quarterbacks'). Callers are research tools only (BenchCalibration, BoardValue, KeeperSlateImpact, OddsConsistency, RoundTable, RankIndexCheck, Tomorrow); RosterRules.java:104 is a comment.
RankIndexCheck	draft-research	seasonal	diagnostic	Measures how fast outcome scatter moves with positional rank to decide whether draftable-vs-full-board rank indexing matters.	DIAGNOSTIC.md:50-51 table rows ('rank offset is worth 0.01 SD', 'receivers scatter 30% less than backs'); DRAFT-READY.md:290. No callers.
RankKeyChoice	draft-research	diagnostic	diagnostic	Leave-one-season-out test of whether ADP or projection rank should key a man's historical outcome cell.	DIAGNOSTIC.md:423 quotes result; README.md:56 lists it; TRAPS.md:578; build.gradle:188-192. OutcomeDistributions.java:42 cites it in javadoc only.
RankPrediction	draft-research	diagnostic	diagnostic	Scores how well expectedRank (hard ADP cutoff vs survival table) predicts the rank that arrives at each of Justin's picks, on simulated drafts.	DRAFT-READY.md:408 quotes it; LiveBoard.java:1072,1086 reference it in comments only; RealDraftSurvival/MidDraftRank references are research.
RankStdGate	draft-research	archive	stray	Gate test of whether FantasyPros rank_std predicts out-of-sample deviation from slot better than tier alone.	No reference in any root doc; no callers in src/main/java.
RankingSelectionTest	draft-research	archive	stray	Tests Kim-Nelson sequential ranking-and-selection budget allocation against the committee's equal fixed rollouts.	No reference in any root doc; no callers in src/main/java.
ReachAudit	draft-research	archive	diagnostic	D2 reach-size distribution (chosen player's rank among still-available Sleeper-default feed) per manager and per season, real vs simulated.	MODEL.md:1001 ('D2 ReachAudit: real vs simulated reach-size distributions'). Callers: ManagerFeedTable, SniperFit, StrayDiagnostics (all research).
RealDraftSurvival	draft-research	diagnostic	diagnostic	The non-circular test of the survival table: scores expectedRank against the league's real 2024/2025 drafts held out of the fitted model.	DIAGNOSTIC.md:115,289 ('1.19 men error vs 3.35'); DRAFT-READY.md:439. LiveBoard.java:1280 reference is a comment.
RealMidDraft	draft-research	seasonal	diagnostic	Scores three expectedRank rules (prior-only vs room-observed blends) against the league's real 2024/2025 drafts mid-draft.	DRAFT-READY.md:453 quotes it; LiveBoard.java:1590 comment ('prior alone (RealMidDraft, 360 cells)'); DrainPrediction is research.
RecencyGate	draft-research	archive	stray	Gate for recency-weighted (half-life) QB earliness in the room model: chosen on 2024, confirmed on held-out 2025.	No reference in any root doc; no callers in src/main/java.
RegimeShift	draft-research	diagnostic	diagnostic	Tests whether 2013-2018 seasons are exchangeable with 2021-2025 before pooling them into the backtest; prices the overfitting.	MODEL.md:4640,4667,4697 ('Two tests, both in `RegimeShift`'); build.gradle:238. Callers EraBoards/EraGame/EraScores/FormatProxyAudit are the era harvest research.
ReplacementRanks	draft-research	diagnostic	diagnostic	Three derivations of what an unfilled slot is worth, checking the replacement rank RiskDiscountedValue uses against the league.	MODEL.md:4536 ('three ways in `ReplacementRanks`'); RiskDiscountedValue.java:71 comment 'AUDITED 2026-08-30 (ObjectiveAudit, ReplacementRanks) and left alone'.
RiskDial	draft-research	archive	stray	Reports whether a seat below the playoff line should draft for variance via DraftPlanner's lambda dial (availability risk, not performance risk).	No reference in any root doc (only build.gradle:129-132 property comments); no callers in src/main/java.
RookieMarket	draft-research	archive	diagnostic	Pick-minus-ADP for rookies vs veterans, split at the nine-round boundary, to test whether the keeper league drafts rookies early.	MODEL.md:404,415,427 quote its results; no callers.
RoomFidelity	draft-research	seasonal	diagnostic	Fits the choice model on prior seasons and simulates a held-out season's own board with its keepers, comparing to what that draft did.	DIAGNOSTIC.md:64,77,183,207,447,457,470 quote results ('worst band gap: RB 8.0, WR 5.1...'); DraftSimulator.java reference only.
RoundTable	draft-research	archive	stray	Prints what the fixed plan and the lookahead model take each round across sixteen rounds, as a distribution.	Only doc mention is TRAPS.md:1354 about a stale line-number citation, not its result; no callers in src/main/java.
ScenarioTree	draft-research	archive	diagnostic	Non-anticipative scenario tree solved by backward induction to bound how much of the clairvoyant certificate (22.1) a real policy could capture.	MODEL.md:1699 heading 'The certificate, decomposed (2026-08-27): ScenarioTree'; MODEL.md:1733. No callers.
ScorerHonestyAudit	draft-research	diagnostic	diagnostic	Checks whether PlanBacktest.seasonPoints fills its lineup by expectation or hindsight, scoring each roster both ways.	DIAGNOSTIC.md:52,129 ('hindsight fill worth +114 vs a 35-point bar'); DRAFT-READY.md:305. PlanBacktest reference is a comment.
ScoringImpactReport	draft-research	diagnostic	diagnostic	Scores every PlanBacktest strategy under pts_half_ppr and under LeagueActuals in one process to show what the scoring fix changes.	MODEL.md:4316,4351; TRAPS.md:656. LeagueActuals.java:54 reference is a javadoc comment.
SequenceSearch	draft-research	archive	stray	Hill-climbs whole fourteen-position draft sequences scored on real outcomes, leave-one-season-out, to try to beat the folk rules.	No reference in any root doc; no callers in src/main/java.
ShapeSearch	draft-research	diagnostic	diagnostic	Leave-one-season-out shape picker to test whether the RUNBOOK plan's 1998 is an out-of-sample number or a training score.	MODEL.md:4709,4728-4729,4811 ('Until `ShapeSearch` is rerun on the corrected grader'); no callers.
ShapeSensitivity	draft-research	diagnostic	diagnostic	Maps the neighbourhood of the fourteen-slot committed shape to tell a plateau from a spike.	MODEL.md:4365; TRAPS.md:34 (its legal() bug). References in RosterRules.java:481, PlanBacktest, KeeperSlateImpact, LeagueRules are comments/research, not live calls.
SlotValue	draft-research	archive	diagnostic	Pure serpentine slot curve: every seat valued on a world with no keepers so bumps in the real landscape are attributable to neighbours' keepers.	MODEL.md:657 'final construction (SlotValue): the MOCK-ROOM world - every keeper...'. No callers in src/main/java; not in RUNBOOK.
SniperFit	draft-research	archive	stray	M1 sniper mixture: per-manager reach rate eps_m fitted on 2022-2024 with a held-out 2025 gate, reaches measured within position.	No reference in any root doc by name. Only caller is StrayDiagnostics.java:93 'SniperFit.withinPositionRank(...)', which is itself unreferenced. Javadoc labels it 'M1'; if RESEARCH-PLAN refers to it only by milestone number it is at best a diagnostic.
SourceSensitivity	draft-research	diagnostic	diagnostic	Does the best committed draft sequence flip when projections come from ESPN or CBS instead of Sleeper/Rotowire?	DRAFT-READY.md:486 'One distinct verdict. `SourceSensitivity` says the same of Model A's committed...'. Mentioned in BoardSourceCheck.java:9 javadoc only. Not in RUNBOOK.
StarterContribution	draft-research	diagnostic	diagnostic	Sweeps a pick's contribution to weekly starting lineups across bust/injury rates to show where TE-early vs depth changes hands.	MODEL.md:2631 'Every position positive, quarterback overwhelmingly so. `StarterContribution`', MODEL.md:4918 bust dial, MODEL.md:5133 'measured rather than argued'. Callers are research tools only (BustBoomSweep, OutcomeDistributions, RankStdGate, TightEndTiming). Not in RUNBOOK loop.
StarterSumCheck	draft-research	archive	stray	Checks that WeeklyStarterValue values a tenth bench man positively where the old best-nine-of-season-totals objective gave zero.	No reference in any root doc; no callers in src/main/java. Last touched 7b46335 2026-08-30.
StrayDiagnostics	draft-research	archive	stray	M2 triage: raw within-position reach signals for rookies, youth, faded names, homers and 6-pt display QBs on real picks.	No reference in any root doc by name; no callers in src/main/java. Javadoc: 'Diagnostics, not fits'.
TailLegality	draft-research	seasonal	diagnostic	Does the rollout tail ever finish a roster without a defence (which made 'take the defence now' look mandatory)?	DIAGNOSTIC.md:144 '| 0 of 5 tails finish without a defence (was: often) | `TailLegality` | high |', DIAGNOSTIC.md:291, DRAFT-READY.md:350 'TailLegality measures 0 of 5'. LiveSetup.java:13 mentions it only as a past mistake ('never set scheduleRounds').
TeOrDepth	draft-research	archive	stray	Marginal starter-sum value of the best available TE vs another RB/WR at each pick, against a roster that never takes a TE.	No reference in any root doc; no callers in src/main/java. Last commit b322035 2026-08-30.
TierCliffs	draft-research	archive	diagnostic	Empirical tier drops per season and position in the projections managers saw, motivating the drop-off selection feature.	MODEL.md:332 'TierCliffs confirms it in the projections the managers saw: TE 2022 fell'. No callers in src/main/java.
TightEndHabit	draft-research	seasonal	diagnostic	Rank correlation between which managers really take a TE early and which simulated managers do, per held-out season.	DIAGNOSTIC.md:101 '`TightEndHabit` shows the model cannot...' and DIAGNOSTIC.md:257. No callers in src/main/java.
TightEndTiming	draft-research	diagnostic	live	Joins five seasons of dated pre-season ADP to realised points and scores TE-early/WR-late vs WR-early/TE-late vs stream as a swap.	MODEL.md:3160 'the third independent route to the same answer. `TightEndTiming`'s'. Also on a live path: called by WeeklyStarterValue.java and WireRateStress.java (the objective TuesdaySwap/TradeMarket price on) plus PlanBacktest, OutcomeDistributions, EraBoards.
TrainingRows	draft-research	seasonal	diagnostic	Counts the selections the shipped room model actually trains on (857, 2021-2025, sixteen rounds) after '435 rows' proved to be the gate set.	DIAGNOSTIC.md:15 '857 selections (2021-2025, sixteen rounds; `TrainingRows`)', DIAGNOSTIC.md:446,470; TRAPS.md:322 (#59). No callers.
TrustCoefficient	draft-research	diagnostic	diagnostic	Estimates the projection-trust slope (realised gap on projected gap) in the shape RiskDiscountedValue uses it, instead of borrowing a Spearman correlation.	MODEL.md:4509 '`TrustCoefficient` estimates the thing itself'. RiskDiscountedValue.java:136 'AUDITED 2026-08-30 (ObjectiveAudit, TrustCoefficient)' and LiveBoard.java:1148 are comments only, not calls.
WorldsRace	draft-research	archive	diagnostic	Six simulated worlds (boosted brain, linear brain at three temperatures, QB-pressure/QB-lazy) racing the committed plan, timing heads and reactive VORP to test whether the plan survives the world being wrong.	MODEL.md:1786 'Plus WorldsRace under Model A (the'. No callers in src/main/java (it calls TimingPlanner). Not in RUNBOOK.
AAAConfiguration	feeds	live	live	Single source of truth for which league/season/draft is configured; reads draft id, prior league and humans back from Sleeper and caches them.	README.md line 64 ('./gradlew run -Pmain=AAAConfiguration # what league am I pointed at'); imported by essentially every class including LeagueConsole, TuesdaySwap, TradeMarket, SeasonOutlook, DraftNight, KeeperChooser; TRAPS.md:326 notes it caches draft_order JSON.
AdpSnapshot	feeds	live	live	Appends today's Sleeper ADP and projections to committed CSV archives, one row per player per day; the archive feeds ProjectionDrift and pinned-snapshot runs.	RUNBOOK.md:174 'Before the draft' section ('./gradlew run -Pmain=AdpSnapshot # fresh ADP + all four feeds'); README.md:42; its archive is read by ProjectionDrift (in-season loop tool, RUNBOOK 'Once a week') and SleeperProjections/ProjectionSources for -PadpSnapshot=<date> and snapshot: sources (SleeperProjections.java:220, ProjectionSources.java:78).
CSVProjectionsFP	feeds	archive	live	Loads hand-downloaded FantasyPros rest-of-season CSV exports (FantasyPros_<season>_Ros_<POS>_Rankings.csv) as an in-season projection source.	Called at ScoredRoster.java:232 ('CSVProjectionsFP.playerToScoreProjFPROS(true)') under ProjectionSource.IN_SEASON_FP_CSV; ScoredRoster is used by TradeFinder (build.gradle:115 default mainClass 'TradeFinder'). No root doc names it; only reached when that source is selected, files absent otherwise (lazy load).
CbsProjections	feeds	live	live	Scrapes CBS Sports per-position season stat-line tables and scores them under league settings via the shared scorer, with a self-check on QB passing yards.	ProjectionSources.java:117 ('case "cbs" -> CbsProjections.leaguePointsBySleeperID()'), the -Pprojections switch used by every planner and by BoardSourceCheck; RUNBOOK.md:174 'fresh ADP + all four feeds'. No root doc names the class directly; SourceAdaptersTest covers it.
DraftDates	feeds	diagnostic	diagnostic	Reads the exact draft date/time of every season from the league chain's /drafts collections so ADP-capture dates can be measured against the draft moment.	No root doc names it. Called by two research tools: AdrProvenance.java:132 "DraftDates.byLeagueSeason()" and FeedResemblance.java (whose results MODEL.md:1253-1307 quotes). No test.
EraExport	feeds	archive	stray	Writes the harvested FFC PPR era boards to disk under their own ffc-adp-ppr-* name so no tool silently globs them as FantasyPros half-PPR.	No reference: no root .md names it or 'ffc-adp-ppr', no caller in src/main/java, no test. It calls EraIngest (one-way).
EraIngest	feeds	diagnostic	live	Fetches, caches forever and joins every season Sleeper stats and FFC ADP still serve, printing join rates; the ingestion half of widening the backtest beyond five seasons.	MODEL.md:4606 "`EraIngest` fetches, caches and joins them". On the live path only through its constants: LiveBoard.java:1388 "EraIngest.MIN_RATE, EraIngest.minDepth()". Also feeds DetectionLag, PairwiseOdds, EraBoards, RegimeShift, InSeasonLearning. No test.
EspnProjections	feeds	live	live	ESPN season projections via the fantasy API (X-Fantasy-Filter header, own fetch, day cache), scored under league settings as a second full stat-line source.	ProjectionSources.java:116 "case \"espn\" -> EspnProjections.leaguePointsBySleeperID();" — ProjectionSources is the scoring bridge every planner reads (README.md:30). Not named in any root .md. Test: SourceAdaptersTest.
FFCalculatorSD	feeds	live	live	Fantasy Football Calculator per-season half-PPR ADP and per-player ADP standard deviation, centred on the season median, by Sleeper id; a selection-model feature column.	SelectionModel.java:552 "Map<String, Double> spread = FFCalculatorSD.centeredSpreadBySleeperID(season);"; DraftSimulator.java:420,440 — both under Draft2026. MODEL.md:116 "per-player ADP stdev, per season, already reachable via FFCalculatorSD". No class javadoc, no dedicated test.
FantasyProsADP	feeds	archive	stray	Scrapes FantasyPros expert-consensus half-PPR ranking and matches rows to Sleeper players by name/team/position, dropping unmatched rows.	Only caller is FantasyProsReports.java:22 "FantasyProsADP.getRankingFPECR()", itself unreferenced. ProjectionSources does not route to it (no hit for FantasyProsADP in ProjectionSources.java). Not in any root .md; exercised only by LeagueSmokeTest (README.md:100 "smokeTest hits the live Sleeper and FantasyPros APIs").
FantasyProsReports	feeds	archive	stray	Prints a Serious-vs-FantasyPros-ECR comparison table (sve()).	No reference: no root .md, no caller, no test. No class javadoc; body is src/main/java/FantasyProsReports.java:29-36 "//Serious vs ECRADP ... public static void sve()".
HumanOfInterest	feeds	live	live	League user-id to display-name map read from /league/{id}/users; main() dumps every id/name pair plus "me".	No doc reference to the class itself, but it is a dependency of live tools: src/main/java/KeeperAudit.java and DraftNight.java/LiveDraft.java (RUNBOOK 'Before the draft' lines 176-177) and TradeFinder.java (build.gradle:115 default mainClass 'TradeFinder'). Also used by LeagueOutlook, ManagerProfiles, KeeperEligibility. Its own main is a utility dump, not a decision.
InOutUtilities	feeds	live	live	HTTP fetch and per-day/forever cache layer (getTodaysWebPage, getCachedForever) under every Sleeper/FantasyPros/CBS feed; main() is a stub printing getThisMonthsMyID("justinb314").	TRAPS.md:1048 ('InOutUtilities.getTodaysWebPage serves the fixture'). Called by SleeperLeague, TeamRankings, SeasonOutlook, TradeFinder, LeagueConsole path (WeeklyProjections, SleeperProjections, LeagueWeek) - all in RUNBOOK's in-season loop. Live as infrastructure, not as a tool to run.
InSeasonProjectionsFP	feeds	archive	live	FantasyPros rest-of-season pages; getRosRanking() returns expert-consensus ranks, playerToScoreProjFPROS() is documented as no longer able to return points. main() counts matched ROS ranks.	No doc reference. Called by ScoredRoster.java:229 ('InSeasonProjectionsFP.playerToScoreProjFPROS(true)') which sits under TradeFinder, the build default mainClass (build.gradle:115). Live only by that letter of the rule; the javadoc says the points method 'cannot work and says so, loudly' and directs to ProjectionSource.SLEEPER.
MarketMovers	feeds	diagnostic	diagnostic	Report-only: who the market moved on in the last N days from the daily sleeperProjections<season><date>.txt caches (projection and ADP moves, step-day detection, injury/news metadata as cause).	README.md:43 run line; DRAFT-READY.md:96 'Optional, two minutes'; DIAGNOSTIC.md:480; build.gradle:161 properties. Not in RUNBOOK.md; javadoc 'Report-only: nothing here feeds the model'. No src callers.
MockDraftReader	feeds	diagnostic	diagnostic	Archives a shared Sleeper mock draft (by id/URL) under data/mocks/ before Sleeper prunes it and prints reaches vs current ADP.	README.md:60 run line; MODEL.md:222 describes the archive pipeline. Not in RUNBOOK; no src callers. Runs on demand when a leaguemate shares a link, not part of the loop.
NflverseBoards	feeds	diagnostic	live	Joins FFC draft boards 2010-2025 to nflverse outcomes by name with a per-season match-rate gate (usable() refuses seasons below it).	LiveSetup.java:76 'NflverseBoards.usable(null)' and LiveSetup is built by Draft2026 (RUNBOOK.md:217 live tool). Also MODEL.md:5159-5161 run line. Callers: BoardValue, BenchCalibration, BoardSourceCheck, CurveCheck, DetectionLag, OddsConsistency, KeeperSlateImpact, LiveSetup.
NflverseWeekly	feeds	diagnostic	live	Reads data/nflverse/stats_player_week_YYYY.csv and scores every player-week from components under this league's LeagueScoringSettings (regular season only, fumbles charged twice).	Called by NflverseBoards (its only src caller), which LiveSetup.java:76 calls for Draft2026. MODEL.md:5155 describes it.
PlayerRawData	feeds	live	live	Downloads/caches Sleeper's /v1/players/nfl metadata (sleeperDataPlayerAPI.json) and cleans it into Player objects; main() just prints the loaded count.	Player.java:116 'allPlayersCache = PlayerRawData.getPlayerMetaData()' - Player is the metadata backbone of every live tool. No doc names it. (The per-fetch-forever cache here is the #117 shape the runbook warns about.)
ProjectionBridge	feeds	live	live	Adapts any site's projected points (or props/stat sheets in data/external-projections/<name>.csv) to this league's scoring using Sleeper's projected event counts.	ProjectionSources.java:126 'return ProjectionBridge.pointsForSource(source)' and :140 EXTERNAL path; ProjectionSources.resolve is called by LeagueConsole.java:238 and SeasonOutlook.java:90. AdpSnapshot.java:144. MODEL.md:502; FantasyProsProjections.java:13 is its validation.
ProjectionSources	feeds	live	live	Registry of named projection slots (sleeper, borischen, paywalled CSVs, blend:...) with resolve(name) and a status/diff report as main().	LeagueConsole.java:238 and SeasonOutlook.java:90 'ProjectionSources.resolve("sleeper")' (both in RUNBOOK.md's in-season loop); DraftPlanner.java:587. README.md:32 run line; MODEL.md:528; DIAGNOSTIC.md:474.
ScoringAudit	feeds	archive	diagnostic	Measures the gap between Sleeper pts_half_ppr (4-pt pass TD) and the league's 6-pt scoring in the backtest grader.	MODEL.md:4231 ('`ScoringAudit` found that the backtest grades quarterbacks at four points'); callers EraIngest/EraGame/ScoringRuleAudit are research.
ScoringRuleAudit	feeds	diagnostic	diagnostic	Walks all 34 league scoring_settings categories against what pts_half_ppr measurably applies and prices each gap per starter-season.	MODEL.md:4234,4350. LeagueScoringSettings.java:28,127 and LeagueActuals.java:17 cite it in comments; no call.
SleeperADP	feeds	archive	stray	Builds half-PPR ADP rank lists (playerRankSerious) from the Sleeper projection feed; main prints the count.	No root-doc reference. Only caller is StrategyBot.java:16, itself used only by SimulationDraft (old simulator) — superseded feed path (AdpSnapshot/HistoricalProjections carry ADP now).
SleeperDraftInfo	feeds	live	stray	Reads the Sleeper draft object (draft order, users); main prints pick-by-user. Carries a '//todo these get___draft things are wrong' at line 15.	No root-doc reference; only caller SleeperLeague.java:41 `SleeperDraftInfo.getSeriousDraft()`, and SleeperLeague is the legacy league reader still imported by LeagueWeek/ProjectionBridge — the tool's own main is referenced nowhere.
SleeperProjections	feeds	live	live	Sleeper season projections feed: raw points map plus league-scored projections via scoreStatLine; the projection source under every in-season tool.	Javadoc src/main/java/SleeperProjections.java: 'the only remaining feed that publishes projected stat lines'. Called by LeagueConsole, TradeMarket, TeamRankings, KeeperChooser, KeeperPlan, ProjectionSources, DataStamp path (48 callers). MODEL.md:35 'All points under league scoring (6-pt passing TDs), via SleeperProjections'. TRAPS.md:1291 injuryStatusOf.
WeeklyHarvest	feeds	archive	stray	Phase 0: pull every week of five seasons into the forever cache and gate that weekly points sum to the season totals already in use.	No reference in any root doc by name; no callers in src/main/java. Last commit dc500dc 2026-08-29 'phase 0: five seasons of weekly actuals, and the gate passes'. The gate it describes is not re-run by anything in the loop.
KeeperAudit	keeper	live	live	Checks the commissioner's hand-entered keeper rounds on the Sleeper draft board against the ruleset (escalation, eligibility); expects 24/24 matching.	RUNBOOK.md:176 under 'Before the draft (Monday evening)': './gradlew run -Pmain=KeeperAudit # board still 24/24 rules-clean' and :179 'If KeeperAudit reports anything other than 24 matching the rules, STOP'. README.md:63. RosterRules.java:64 names it as the checker.
KeeperChooser	keeper	seasonal	diagnostic	Chooses the keeper pair by simulating the following draft (SimulationDraft) for each legal pair; owns eligibleCandidates/priceHypothetical keeper pricing.	README.md:61-62, DIAGNOSTIC.md:377, TRAPS.md:462/1394. Not in RUNBOOK. Its eligibleCandidates was replaced on the live path: LeagueConsole.java:506 and TradeMarket.java:660 now call NextYearKeepers.forThisLeague/roundsForThisLeague (today's fix). Remaining code callers are KeeperPlan.java:42 and OwnerLadder.java:277/298/345, neither in the loop.
